电表ID,时间,电表值
E001,00:00,5000
E001,00:30,5015
E001,01:00,5020
E001,01:30,5025
E001,02:00,5030
E001,02:30,5035
E001,03:00,5040
E001,03:30,5050
E001,04:00,5060
E001,04:30,5070
E001,05:00,5080
E001,05:30,5090
E001,06:00,5095
E001,06:30,5100
E001,07:00,5105
E001,07:30,5110
E001,08:00,5115
E001,08:30,5120
E001,09:00,5125
E001,09:30,5130
E001,10:00,5145
E001,10:30,5150
E001,11:00,5165
E001,11:30,5170
E001,12:00,5185
E001,12:30,5190
E001,13:00,5195
E001,13:30,5200
E001,14:00,5205
E001,14:30,5210
E001,15:00,5215
E001,15:30,5220
E001,16:00,5225
E001,16:30,5230
E001,17:00,5235
E001,17:30,5240
E001,18:00,5245
E001,18:30,5250
E001,19:00,5255
E001,19:30,5260
E001,20:00,5265
E001,20:30,5266
E001,21:00,5267
E001,21:30,5268
E001,22:00,5270
E001,22:30,5271
E001,23:00,5273
E001,23:30,5276
E002,00:00,1000
E002,00:30,1015
E002,01:00,1020
E002,01:30,1025
E002,02:00,1030
E002,02:30,1035
E002,03:00,1040
E002,03:30,1050
E002,04:00,1060
E002,04:30,1070
E002,05:00,1080
E002,05:30,1090
E002,06:00,1095
E002,06:30,1100
E002,07:00,1105
E002,07:30,1110
E002,08:00,1115
E002,08:30,1120
E002,09:00,1125
E002,09:30,1130
E002,10:00,1145
E002,10:30,1150
E002,11:00,1165
E002,11:30,1171
E002,12:00,1183
E002,12:30,1192
E002,13:00,1195
E002,13:30,1202
E002,14:00,1205
E002,14:30,1210
E002,15:00,1215
E002,15:30,1220
E002,16:00,1225
E002,16:30,1230
E002,17:00,1235
E002,17:30,1240
E002,18:00,1245
E002,18:30,1250
E002,19:00,1255
E002,19:30,1260
E002,20:00,1265
E002,20:30,1266
E002,21:00,1267
E002,21:30,1268
E002,22:00,1270
E002,22:30,1271
E002,23:00,1273
E002,23:30,1276
E003,00:00,1001
E003,00:30,1010
E003,01:00,1023
E003,01:30,1025
E003,02:00,1030
E003,02:30,1035
E003,03:00,1041
E003,03:30,1052
E003,04:00,1066
E003,04:30,1070
E003,05:00,1080
E003,05:30,1090
E003,06:00,1095
E003,06:30,1100
E003,07:00,1105
E003,07:30,1110
E003,08:00,1115
E003,08:30,1120
E003,09:00,1125
E003,09:30,1130
E003,10:00,1145
E003,10:30,1150
E003,11:00,1165
E003,11:30,1170
E003,12:00,1185
E003,12:30,1190
E003,13:00,1195
E003,13:30,1200
E003,14:00,1205
E003,14:30,1210
E003,15:00,1215
E003,15:30,1220
E003,16:00,1225
E003,16:30,1230
E003,17:00,1235
E003,17:30,1240
E003,18:00,1245
E003,18:30,1250
E003,19:00,1255
E003,19:30,1260
E003,20:00,1265
E003,20:30,1266
E003,21:00,1267
E003,21:30,1268
E003,22:00,1270
E003,22:30,1271
E003,23:00,1273
E003,23:30,1276
